,plaintext,ciphertext
215,1e06,c3dc
216,0beb,d791
217,c9aa,fd4a
218,97ce,26b2
219,5e31,4b46
220,e3b7,4388
221,a279,be52
222,541d,d389
223,b0f9,b3b9
224,dfb0,d219
225,5987,554b
226,b6e6,83db
227,5f4f,e3d5
228,3dc0,5199
229,d8d7,4f33
230,1b66,1ea0
231,fef5,361d
232,f4fa,41aa
233,b026,38d2
234,cd07,e5f2
235,cb35,2029
236,3148,9087
237,a97a,1017
238,a6d0,9a4a
239,10f1,322c
240,f55c,18e4
241,1a89,0f7e
242,4989,2546
243,3d91,3fad
244,29d3,1905
245,9a5d,6d57
246,1160,0b21
247,c9c4,73e5
248,ccfd,01cc
249,00a3,4a77
250,0f12,e9e6
251,e654,d4a2
252,7f79,43b9
253,520e,111b
254,04e8,153a
255,03ff,b51e
256,33dc,6d48
257,af09,5af4
258,79b1,3f79
259,dd9c,3d4c
260,9971,13cb
261,b41b,0a82
262,8762,a2f0
263,7f3f,7cd5
264,e300,df96
265,256b,a738
266,4c99,b5ed
267,d448,82b4
268,1120,a1eb
269,1358,02b1
270,f910,fc63
271,9998,d680
272,ea79,89f6
273,19e4,5944
274,5c85,913d
275,ee79,df45
276,058e,7389
277,f7af,0095
278,a850,c5e4
279,6080,b63e
280,c49a,5105
281,210c,b846
282,54f3,8a46
283,9ea8,e821
284,d3f8,ae44
285,ed6d,5ae7
286,4d2a,31a3
287,4e3b,833a
288,eaa3,f671
289,325b,000d
290,0610,3625
291,0b6f,07e1
292,8f41,7f5c
293,17ca,3a24
294,e34d,2074
295,0404,0f5e
296,71e0,59e9
297,d58a,1005
298,2a9f,7569
299,274e,3717
300,23d4,d886
301,db82,9603
302,4bf5,5024
303,db75,ac21
304,5b2c,13d8
305,90a5,0757
306,7026,17d7
307,53ef,f590
308,7fad,ee1d
309,3a07,7624
310,80eb,e6fc
311,b264,44d2
312,0496,c3a3
313,ab67,c42f
314,09a6,3110
315,eb38,7d53
316,7599,3a96
317,6ea9,a703
318,01f9,fbf5
319,9b62,7238
320,b16e,27e3
321,2bc4,bb08
322,0d04,d017
323,2635,01ed
324,f765,4d4f
325,8c4f,885e
326,594e,e900
327,0537,7e50
328,0d76,e8bb
329,4dd1,37b9
330,8d87,fa1c
331,0f75,7154
332,ecfb,5203
333,c681,d952
334,c151,c032
335,f7bb,ca21
336,11ec,40ec
337,ed38,aa77
338,4288,b613
339,e24c,67d0
340,1da5,df51
341,ec2a,d2b8
342,c96a,5e80
343,1146,c159
344,52de,d530
345,b95a,8485
346,01fd,9981
347,39e8,8f55
348,c26c,d600
349,06b7,1d34
350,2fbe,69c7
351,b238,db80
352,29d7,32d2
353,d245,80f3
354,59a8,0268
355,0d36,fcfb
356,8fd8,56f6
357,6266,891d
358,c275,5921
359,e0c6,4506
360,ceb4,9169
361,7cca,52a2
362,f749,ba5e
363,9654,19b7
364,ae68,ccd2
365,ca6f,1ded
366,4865,ef12
367,edb8,6782
368,955e,c78e
369,3028,4176
370,067d,cb28
371,16ae,f96f
372,0058,79d6
373,a04e,8e7d
374,c2c7,77c1
375,bf73,0914
376,3647,2ad7
377,3654,984a
378,44ff,3d49
379,1440,e460
380,28d0,590e
381,73b6,3e9f
382,853d,bdfd
383,227b,8e9c
384,3474,5f5b
385,07fe,c57d
386,d28c,ec73
387,c46f,f159
388,fa66,8ca0
389,19e8,04a9
390,b288,b1d3
391,fa8c,43b2
392,34dd,054f
393,41f0,aee9
394,88e1,afe4
395,6cf4,68a1
396,e518,7729
397,326a,f4ff
398,8a9d,0e9b
399,57b1,f8b1
400,f0a6,fa71
401,f1fa,3ccd
402,8d9b,eb5e
403,fba9,ca6b
404,7020,a9b9
405,9d62,de46
406,83e9,5cc1
407,e82e,bb28
408,4849,2676
409,31f9,a67b
410,2bf5,f526
411,5176,ad8f
412,1a1f,2379
413,1331,0490
414,a7b2,2c1f
415,f7fe,6495
416,768b,e28e
417,e2c9,8a28
418,5704,2ee5
419,32e9,e0b0
420,a621,948c
421,2f94,d801
422,68eb,a7ca
423,153c,ee08
424,6e73,290e
425,4ca5,3b8b
426,aede,9bff
427,8730,a3fb
428,0d1c,01d5
429,ae50,ca84
430,72f8,68e2
431,4cc0,13ee
432,5e58,70ed
433,3bb4,d5d2
434,5ea1,7094
435,b249,fb73
436,446f,fdd3
437,04d5,c056
438,aa94,616a
439,7204,d7d7
440,6c59,1dd2
441,3d64,27a8
442,5c23,80e1
443,92f0,e8b9
444,046e,fad1
445,23e5,37e7
446,3dbf,7708
447,a453,8596
448,ef31,620b
449,1bde,491f
450,92ad,9867
451,ac3a,8038
452,eef1,ef43
453,ef75,b08a
454,e367,73cc
455,48be,a2da
456,8ec3,4b4e
457,1b21,e5da
458,20c6,93de
459,441c,ae4a
460,243e,4ea0
461,ed51,b9c4
462,3c06,5010
463,114e,09ad
464,8e5e,5c96
465,a113,7a93
466,77b8,aa50
467,c429,5540
468,c831,3e70
469,9f49,e660
470,3bad,2aa7
471,02b3,e8bc
472,1252,eb53
473,0e47,9f37
474,991c,7178
475,2494,d3ad
476,83b3,ad85
477,eb61,1c3a
478,f69f,4cd5
479,c3f2,c125
480,ca8d,1018
481,5e43,c435
482,30ef,0d13
483,1b1d,61d4
484,ea3e,c58e
485,0f0c,05e8
486,a241,ee59
487,7053,6e44
488,d930,dd0a
489,3d53,e3cc
490,8f58,901d
491,6e6f,baf5
492,bf6b,f6be
493,3ca6,3a3d
494,0c83,384d
495,08e6,8047
496,8443,4e28
497,e685,f270
498,9cb2,2ca9
499,0f0d,5bc6
500,d2b4,5eb3
501,cb83,cbd5
502,0eb0,16cc
503,f6ca,8ba5
504,a82b,293c
505,1c60,3e91
506,f6eb,e45d
507,70e9,00c4
508,3227,1f96
509,dd93,f6da
510,304e,adec
511,3b63,97e8
512,3f7b,0e89
513,4263,b218
514,1ddc,8cda
515,f7dd,005d
516,7a91,0479
517,08b2,58f2
518,589b,8ae8
519,0b7f,835c
520,926b,118b
521,302d,64a4
522,b3c9,8e3b
523,4e5f,7c22
524,2b7a,2cd3
525,7d1e,3ffd
526,1856,0c80
527,6c05,9385
528,bb86,4e7c
529,6c1b,1ac0
530,2d89,5764
531,9f9e,538d
532,3d43,b801
533,3155,93d2
534,d621,2622
535,c384,8ed6
536,2a41,3161
537,5d61,5825
538,b46c,2ad3
539,d99d,909a
540,b9cc,7d19
541,9ea1,2280
542,ffc6,e9c6
543,2f8e,991b
544,6a2a,7a8e
545,bcdf,6f7b
546,ce3a,ffc2
547,bc02,8aee
548,4df3,bd08
549,0072,8832
550,7dd6,7699
551,6808,efee
552,c6fa,edcc
553,ecf9,b4ba
554,6a6b,5489
555,102a,a99b
556,861d,9b48
557,f9a5,dc25
558,cc15,307b
559,a440,8581
560,3ece,5d30
561,7f4d,b8ac
562,5767,765a
563,4441,e7b8
564,f489,f8d2
565,57e2,244c
566,5e18,a69e
567,4c24,1912
568,9fd3,9910
569,710b,2b6b
570,e2f2,d286
571,0290,09d4
572,2b2a,cb31
573,ddbf,019c
574,aedc,1b34
575,c92f,124a
576,69c3,14d5
577,0bbf,7a6a
578,23f6,e909
579,b0f6,5d92
580,49bc,62d5
581,8f4b,db4b
582,20ec,e66a
583,e6cb,b587
584,4a4c,ffd2
585,4a6b,b538
586,543a,af38
587,320e,9f6e
588,f035,152f
589,cdd5,9574
590,8946,5ed6
591,9c2e,18e6
592,3a5b,0d81
593,3a59,6ae1
594,7045,da19
595,07e4,00c2
596,7e13,ef5f
597,7f0d,1d10
598,621d,092c
599,b3c2,833d
600,bdfd,b028
601,0989,48c1
602,cf36,0a4e
603,e850,76ad
604,4fa6,ce04
605,5f2b,e750
606,13af,aee0
607,be8b,6c9b
608,77a1,d677
609,41e0,d384
610,a92e,d24c
611,ea41,ec5b
612,5317,4085
613,8a97,5616
614,d400,dbf6
615,2a5d,153e
616,0a1a,556e
617,0177,33fc
618,67d6,0027
619,0794,62e1
620,e51d,9387
621,a48a,5d05
622,2b1e,36a8
623,1072,ef8b
624,e381,f308
625,df78,5e63
626,529d,7c20
627,ccd1,da41
628,f576,969b
629,a807,7dac
630,9afb,0a31
631,30fe,a2ed
632,b378,8793
633,bb90,5d98
634,fffa,4a4d
635,4608,e277
636,98d7,7567
637,1205,15d5
638,536d,78c7
639,694f,3d61
640,51a8,3c23
641,ea2e,cf65
642,bd0d,e777
643,e488,99b4
644,b15d,c029
645,9de4,91c3
646,20ca,ea4c
647,3517,f49c
648,9397,28e6
649,6c49,add2
650,188c,c153
651,66d9,476a
652,5085,7148
653,3362,aec1
654,e632,f3ed
655,5873,b466
656,da2f,0f43
657,2aca,7020
658,d3e3,3fe1
659,15c8,9719
660,f76e,34e1
661,581f,d151
662,0fb8,7138
663,3630,7c1b
664,91d2,d88b
665,d3c6,648f
666,1b50,5018
667,38ba,8f29
668,36e5,e464
669,8382,1d85
670,d5d6,85bc
671,2e6c,cfd8
672,f42e,475d
673,d7cc,eb35
674,f72f,5a98
675,54b6,1c9c
676,818d,6c31
677,3c97,3211
678,325a,58f3
679,62b5,eca9
680,e5df,1486
681,b880,cc83
682,4fc3,a32c
683,fe6f,a70d
684,e6c8,2ff6
685,4b3b,170d
686,fd8b,3072
687,6587,e1a9
688,2a73,f03c
689,280d,49cf
690,8177,4fbb
691,06bf,a621
692,f95a,ee3e
693,7627,ec3b
694,a88d,42da
695,3e01,f23e
696,2138,b31b
697,1a6e,3a1a
698,f9ea,e468
699,866c,3a93
700,e4a9,cd47
701,cd40,fc20
702,214d,430e
703,d789,3295
704,2773,773e
705,8753,c8c0
706,5cff,5935
707,246a,5a16
708,7d2c,c528
709,04ef,5f4f
710,f9ab,6120
711,c17c,b3a6
712,295d,6350
713,ac48,7316
714,1375,ec90
715,cf89,44a3
716,6782,48eb
717,8317,370a
718,30e6,96c9
719,b06c,9144
720,2c61,dc09
721,3e33,5d28
722,5ec1,bcd6
723,5e8b,86c0
724,35cc,1d76
725,4156,73dd
726,1ed5,5588
727,d2f0,ed1c
728,169c,febc
729,9b5a,34e9
730,0fc5,1155
731,e9a5,eb00
732,590c,aab0
733,ce2d,9779
734,f675,ead8
735,a259,cfa1
736,1f6d,5af7
737,8ab9,463e
738,0a23,c500
739,53d8,d939
740,93b4,f1af
741,0235,5ecd
742,23ea,32fb
743,c85f,a10d
744,6230,ddad
745,ab92,d198
746,e48f,2fa5
747,25d0,3236
748,adbc,95da
749,cb0c,2560
750,8cba,80bc
751,8901,d77a
752,12d9,cbf3
753,a5cc,798b
754,2c6d,e284
755,d371,f88d
756,c197,94ac
757,81dd,9512
758,2420,531e
759,5e3f,ba72
760,23a1,d14d
761,e738,ade0
762,f62a,2dc8
763,f286,8341
764,4a69,fbea
765,fc3e,71b1
766,eb17,7aef
767,6e3d,7b09
768,0296,3f0a
769,cd1c,8578
770,3e96,6e51
771,e99b,9a9c
772,c3d2,d8d4
773,242c,d105
774,d2f5,82fb
775,703c,df08
776,5afa,e95e
777,efc4,ce34
778,76db,e003
779,9b36,a927
780,5faa,31c2
781,6883,f502
782,94de,4bff
783,77bb,26c3
784,3759,c90c
785,76ea,1aa2
786,47bd,f47f
787,aee0,cc85
788,ccd0,6596
789,e77f,e2b8
790,58a2,3683
791,60a4,548a
792,99df,4f13
793,2139,f94c
794,b0a1,82fc
795,28bd,96af
796,f6ad,b89e
797,9b06,464b
798,7e90,37d3
799,491a,3136
800,3043,354b
801,041d,d8f2
802,ffdc,4681
803,f3e9,ac12
804,f84e,3cfd
805,6dce,2c54
806,0459,6ad7
807,c720,0f5d
808,52be,c1ce
809,2594,8e54
810,9dbe,c12a
811,1a67,8b47
812,75c4,2f4a
813,bb47,0982
814,d926,d4a5
815,43d2,3081
816,e20f,8475
817,d691,2791
818,0e7d,070a
819,1366,874f
820,cd9f,ed83
821,b087,3a22
822,aeb2,c982
823,eaf7,ffe9
824,ff29,401a
825,db3f,85b4
826,b49f,2abc
827,18ed,3535
828,8f0e,a4ac
829,7c6d,9580
830,0a50,afc1
831,ebe4,be35
832,8a67,471d
833,0acc,671f
834,cfc6,5815
835,cfa0,0b5a
836,2e27,bfb5
837,7db1,612a
838,accf,5993
839,5094,b42e
840,234e,6e36
841,6fa0,2cc5
842,2f1b,49f7
843,d358,31e8
844,ed35,4319
845,6507,7236
846,7e0c,2d08
847,419d,e2aa
848,f30b,79f3
849,9625,dce3
850,b22b,e7c4
851,deb8,840f
852,ff7b,778a
853,b23e,058e
854,3401,ded9
855,d243,3cab
856,cbc6,f071
857,2f8d,fc66
858,cdc3,dbad
859,ed14,2fde
860,153d,2810
861,825d,6498
862,78f4,6aba
863,80ee,9856
864,6d3f,4120
865,6b40,e3a4
866,2396,e7f3
867,64dc,23da
868,e675,388a
869,e9ce,8867
870,66fc,4a1d
871,63ce,f139
872,1920,afde
873,c348,81e8
874,cb24,e0e5
875,3294,253e
876,ab4f,b697
877,91ba,fe35
878,63d1,9443
879,8850,9502
880,fbde,af77
881,cbf4,3ada
882,578c,35bc
883,80a6,1ba1
884,9ca9,133d
885,ee7b,7769
886,7ed6,725b
887,befb,e0bf
888,012b,423e
889,745e,07bf
890,c6d9,8fb5
891,ebb4,8104
892,5d69,d15b
893,a037,6e18
894,e8fd,a087
895,3ded,e54b
896,3b28,0198
897,b3ce,c3ff
898,7dc6,989f
899,d7b1,feb3
900,0ce9,1cb5
901,ca7d,2037
902,9ad9,b763
903,77b4,2ee3
904,fa28,97f4
905,b4e6,bef8
906,a414,1296
907,a05a,2ac8
908,945c,1cc9
909,d8db,f325
910,b09e,6524
911,611b,b1e4
912,f466,c845
913,2c38,7315
914,5486,e6b0
915,e4a3,a3fc
916,39df,8a61
917,1013,519e
918,b828,6259
919,c93e,9389
920,0c06,dcae
921,490c,3f78
922,cc14,e29d
923,9238,66db
924,8b8e,2442
925,b363,87d3
926,c207,156e
927,96e9,77ac
928,2d3b,d7ca
929,6b4f,c607
930,4ea9,3e97
931,516d,b837
932,c51b,f6ba
933,ca5f,11ec
934,9af1,8608
935,82c5,4e67
936,a54c,be17
937,4094,c63b
938,03b5,97fa
939,331d,9179
940,c8c0,497f
941,19d7,7421
942,580d,0428
943,022e,09b8
944,76f4,6863
945,fa89,a3c3
946,e34e,b28c
947,61fe,1517
948,91cd,7e3d
949,b23a,ee8e
950,8219,398c
951,05ef,ef49
952,d748,60fa
953,b838,6d30
954,e3ae,814a
955,d809,0fbb
956,bf9d,03f7
957,4625,c91f
958,2029,dfde
959,f0d0,77a7
960,79ac,d217
961,f08a,b920
962,ef63,9ce4
963,8c58,1f10
964,b6dc,9e40
965,fd37,945c
966,859c,ef0b
967,53da,0f16
968,9337,6fc4
969,6313,dbac
970,8dfc,74ab
971,e773,6234
972,769c,1205
973,0536,96b1
974,9ee6,857c
975,944a,4ea1
976,1450,dfaa
977,8010,0057
978,12a6,7685
979,0006,09ca
980,e5ad,0460
981,d9c4,61a7
982,78c0,a376
983,a452,213e
984,e177,06ff
985,645d,48ac
986,63ed,ebf9
987,de0c,1b6b
988,418e,9ef5
989,45a7,7765
990,30b7,9d96
991,9a40,db73
992,8801,d9dd
993,63b0,3d33
994,374d,3bfb
995,f792,b456
996,b63d,633b
997,b862,94b0
998,1eaa,f18c
999,d603,3752
1000,2ee4,a86d
1001,b8f6,26d5
1002,e7c4,5618
1003,c911,3f14
1004,b96b,26c4
1005,4dec,0be7
1006,657b,d5d1
1007,62d1,1597
1008,b4d7,3216
1009,3fac,a7e5
1010,5651,e07f
1011,5eae,0386
1012,c11d,2b3d
1013,5030,d09b
1014,1ceb,1bed
1015,ccb5,46b5
1016,3dd8,1909
1017,df57,42a3
1018,0cbb,6b66
1019,3929,95b5
1020,3684,4e83
1021,3fe8,db6e
1022,2fe0,f800
1023,6eb2,94ad
1024,988e,c2da
1025,9875,39e2
1026,364d,788c
1027,1b9e,aa5c
1028,242f,e8a5
1029,66ae,2f50
1030,c2b7,1968
1031,dbcf,29d8
1032,ddc0,245c
1033,e5dc,1366
1034,efc0,dd47
1035,bb10,eb38
1036,6c36,7add
1037,4ec2,9eff
1038,a7d7,dd7c
1039,aa85,8afb
1040,171d,5284
1041,6aea,2c75
1042,bb35,f2f4
1043,7523,f9d0
1044,ae5d,9b8f
1045,53de,8ddd
1046,53fb,5a51
1047,5e77,0f87
1048,d193,32b5
1049,b07e,c9f0
1050,2b53,e715
1051,e63c,b199
1052,a069,8a9b
1053,8d43,fb71
1054,a2f9,dfcb
1055,6cda,98f7
1056,2e1d,3b97
1057,2779,9250
1058,0e97,4c16
1059,a2ed,6edc
1060,9fff,cb2a
1061,d6d6,bb6b
1062,40a7,a16e
1063,0ae4,d4c6
1064,1861,a658
1065,2628,8d13
1066,99b1,70c1
1067,6ca5,3c77
1068,fe45,635c
1069,dc7c,e4f1
1070,b9f3,b077
1071,fb6a,6be8
1072,ff18,5c14
1073,f528,32de
1074,ca8c,2473
1075,ac56,4494
1076,8cbf,eba4
1077,fdff,516b
1078,3aa4,e209
1079,a903,1c4c
1080,ff4b,fbb1
1081,01d5,afc4
1082,59e6,720f
1083,d4c3,55ef
1084,bc8d,8ab9
1085,b1e9,20e1
1086,ef43,6522
1087,12d6,d795
1088,4e74,bc84
1089,2fb4,a035
1090,35e3,f6e4
1091,11ce,1be1
1092,65a2,a182
1093,2dbc,17a3
1094,72b4,807e
1095,2376,697e
1096,6a27,9729
1097,0447,7826
1098,28e9,96d3
1099,f61e,a222
1100,32dd,1321
1101,3287,bd96
1102,31ef,b97e
1103,bdc3,1d55
1104,b222,0154
1105,c790,f1ca
1106,31b0,72da
1107,ef8b,d267
1108,41fa,fd2c
1109,0597,4b77
1110,a5da,2b89
1111,9fe2,2837
1112,b2d8,1293
1113,b5f7,510b
1114,9456,a674
1115,bdf1,4999
1116,5603,e16f
1117,c6b0,0f1d
1118,d7be,6f69
1119,ccf0,a8fa
1120,12a9,c1f9
1121,6347,c314
1122,b672,296b
1123,de1f,498c
1124,499d,c3eb
1125,7560,504c
1126,d2f3,4a02
1127,7eeb,71ee
1128,776c,8f17
1129,16c5,e84d
1130,dde9,4891
1131,3980,f261
1132,f3f8,4c1d
1133,14d9,f4e5
1134,3fcf,3155
1135,d5be,01fc
1136,50fc,5a62
1137,e744,5055
1138,a68f,83de
1139,1b63,2fa6
1140,69ab,e74d
1141,ee63,2af3
1142,c29d,c037
1143,10b6,cab3
1144,cb65,f5fb
1145,fdde,756b
1146,b75e,10c6
1147,a70b,b8e5
1148,d220,bbad
1149,3111,48d0
1150,bdc9,83ed
1151,b46e,79e6
1152,e5f0,21dc
1153,9036,35ac
1154,a56d,2c94
1155,d43a,8dd9
1156,d546,68d8
1157,2ead,f810
1158,0f71,8aca
1159,c52c,ed9d
1160,bd18,27c9
1161,9593,643f
1162,4702,19f9
1163,4b9d,df6a
1164,0038,d59f
1165,485e,0bbc
1166,6c38,9616
1167,2b0b,ba4e
1168,40c8,0ba7
1169,3433,90a5
1170,f0ea,a8bd
1171,1830,94b1
1172,4537,8af4
1173,ccda,d2bc
1174,5ce2,2b40
1175,5111,e7bf
1176,e770,dc5f
1177,45ab,4587
1178,5b1c,e0d1
1179,48b8,c408
1180,e270,8c5f
1181,bdfe,4d9d
1182,56c9,3ce9
1183,38d2,0966
1184,9629,8228
1185,c8e4,a206
1186,4211,498f
1187,c99a,3dd6
1188,c1af,8bec
1189,a6ad,7466
1190,c66e,63d6
1191,d1fc,af28
1192,3a6f,261e
1193,62c1,1027
1194,e02f,b22b
1195,0366,49cc
1196,0043,3a9b
1197,e9af,deb2
1198,97bf,4ef3
1199,5f17,667b
1200,006b,ab9b
1201,f982,1d6f
1202,e451,3ece
1203,b6f8,719f
1204,0f81,eafc
1205,995b,a51b
1206,e5be,2102
1207,a00d,6879
1208,dbb5,f96a
1209,0f9a,b102
1210,8ef7,5970
1211,08c1,deae
1212,796c,d218
1213,4015,b304
1214,f8d8,4816
1215,0d25,844b
1216,0387,3687
1217,7cab,d83b
1218,e5c7,5d47
1219,5ad2,7ca6
1220,f677,5604
1221,b323,1680
1222,a8e2,c560
1223,57d7,7606
1224,5d1b,cb9b
1225,6c80,cbcd
1226,84a4,29b4
1227,f8e2,1605
1228,bc6b,7100
1229,67ab,1990
1230,fcc1,8a29
1231,5484,73aa
1232,33d9,8a2f
1233,eb9e,96f8
1234,c3cf,73d5
1235,031b,71d4
1236,7b59,f65b
1237,5b53,9f7f
1238,99d4,a07d
1239,0481,8b67
1240,7598,9eca
1241,92fc,2fd8
1242,01e1,b3d0
1243,b7ab,ca5b
1244,54f9,18fe
1245,7b2a,bf49
1246,9cf1,ff03
1247,f81e,a6af
1248,55ee,7f2a
1249,0e55,6347
1250,7e41,f9ed
1251,c65f,a430
1252,52ff,600b
1253,73dd,498d
1254,7a26,a82c
1255,8dfa,3ded
1256,f3b0,cd41
1257,c894,1fd6
1258,cea8,7de7
1259,659b,94dd
1260,c79d,aef3
1261,3783,30bb
1262,0595,c78f
1263,0c0e,196f
1264,34f2,9a88
1265,9d84,92c9
1266,1e3d,c81d
1267,c402,cd81
1268,4670,12aa
1269,388f,4d86
1270,060b,f48c
1271,6e86,1e6d
1272,864f,9c07
1273,b541,3be6
1274,54eb,d90a
1275,cce1,3d2a
1276,1485,cd25
1277,f54d,e7f7
1278,9124,cfec
1279,be9f,c38f
1280,dbf4,c534
1281,15c5,9748
1282,bbb5,0b67
1283,50e4,f1fa
1284,d591,5fd6
1285,c271,0b02
1286,faed,6f6a
1287,bf25,c0af
1288,4190,7e33
1289,d0d9,42ee
1290,8319,6765
1291,b94e,fc27
1292,b2a8,107e
1293,178b,6da8
1294,b52a,6322
1295,dae2,f760
1296,223d,02d2
1297,c204,1e99
1298,feb2,1297
1299,7f52,dd27
1300,e415,0ade
1301,63cb,7d7a
1302,9c8d,2944
1303,01ee,77ca
1304,74ad,eba0
1305,3d97,cd83
1306,b775,1a61
1307,2588,965b
1308,f3a8,56ad
1309,7d5b,1204
1310,8584,1822
1311,c48d,efaa
1312,072d,a07e
1313,7499,0546
1314,ccbc,e9a6
1315,872e,de45
1316,ff8e,5e94
1317,020e,0924
1318,2528,a761
1319,abe9,78f2
1320,cbf0,f8f9
1321,6f89,86f1
1322,6147,2af7
1323,50bb,2274
1324,adb8,38b9
1325,3350,1bbf
1326,d8ac,202f
1327,047f,0ab7
1328,e0f2,8e58
1329,e3e1,b26c
1330,4b9f,a17c
1331,da2a,ceb0
1332,7780,65ed
1333,b15a,8943
1334,41af,a88f
1335,f074,ce64
1336,bc4c,7d6d
1337,3ae9,6a75
1338,2ec8,45a6
1339,49cd,d58b
1340,b8a4,759d
1341,513b,7b20
1342,9189,d405
1343,5d95,38b2
1344,5000,c3e2
1345,2aa8,3dd7
1346,4e8c,0fba
1347,1cfd,3271
1348,77d5,7a0d
1349,cbc2,fc18
1350,5dbc,ac67
1351,e394,bf25
1352,6400,d604
1353,322a,3166
1354,8b09,f97a
1355,7460,072a
1356,09af,5963
1357,431b,0e0a
1358,7ec1,fd40
1359,74b6,1e63
1360,da17,0f19
1361,102e,a6cc
1362,77c5,95d5
1363,ce49,491b
1364,daa8,7d84
1365,cd98,8aab
1366,622b,6945
1367,ecf6,ada0
1368,df8f,7810
1369,ae90,6c99
1370,8c14,ec09
1371,6729,f76f
1372,a758,4924
1373,be16,dc96
1374,047a,ea16
1375,5199,ac90
1376,2c88,315f
1377,887f,7b31
1378,9d1d,61d3
1379,21d3,9c49
1380,f6ee,6441
1381,5eb0,2d01
1382,325d,edec
1383,1de8,2b47
1384,e628,7260
1385,609c,0f58
1386,0f6f,59e4
1387,c7f6,101d
1388,9096,04ca
